"species0","species","allometric","condition"
"0","AtlanticHerring","3.40588401","0.002000909"
"1","AtlanticMackerel","3.062840519","0.006802818"
"10","HorseMackerel","2.696300975","0.026740884"
"11","Whiting","3.260833742","0.00349893"
"12","CommonDab","3.20630805","0.005572964"
"13","GreyGurnard","3.153453379","0.005076828"
"14","Hake","3.155472624","0.003626992"
"15","Shrimp","2.806","0.0102"
"2","Sandeel","3.44","0.001"
"3","EuropeanSprat","3.148474632","0.0049436"
"4","NorwayPout","3.096696558","0.005631986"
"5","EuropeanPlaice","3.015816743","0.009380555"
"6","CommonSole","3.256967117","0.00411771"
"7","Saithe","3.240604905","0.003459801"
"8","AtlanticCod","3.206546722","0.00451739"
"9","Haddock","3.242177685","0.004152718"
